date,amount_weekly
2020-01-19,2393.1368504394954
2020-01-20,2391.070644461473
2020-01-21,2391.260196923012
2020-01-22,2391.4456992380296
2020-01-23,2391.6271509889457
2020-01-24,2387.3044491208134
2020-01-25,2382.985503003598
2020-01-26,2378.670313054879
2020-01-27,2376.603075230704
2020-01-28,2376.7779333332674
2020-01-29,2376.948739340593
2020-01-30,2377.115492835099
2020-01-31,2372.8054216336336
2020-02-01,2372.8015588277726
2020-02-02,2372.7936311208127
2020-02-03,2375.024342857076
2020-02-04,2379.500013333267
2020-02-05,2383.9800446372956
2020-02-06,2388.464437186746
2020-02-07,2388.450927633632
2020-02-08,2388.4333516482843
2020-02-09,2388.4117088131193
2020-02-10,2390.6434523955368
2020-02-11,2395.1349046153164
2020-02-12,2399.6307196116536
2020-02-13,2404.1308978021293
2020-02-14,2404.1036701977337
2020-02-15,2406.2246323808836
2020-02-16,2401.886707988942
2020-02-17,2399.8186594285025
2020-02-18,2400.014628205059
2020-02-19,2400.206543355242
2020-02-20,2400.394404461469
2020-02-21,2396.061601113484
2020-02-22,2391.732556996268
2020-02-23,2387.407272527403
2020-02-24,2385.3381921208097
2020-02-25,2385.519454358905
2020-02-26,2385.696661021908
2020-02-27,2385.8698116922383
2020-02-28,2381.549651190406
2020-02-29,2377.2332518680623
2020-03-01,2372.920614142787
2020-03-02,2375.153315868062
2020-03-03,2379.63109999993
2020-03-04,2384.1132487178784
2020-03-05,2388.5997624394895
2020-03-06,2388.5881192087204
2020-03-07,2388.572405787475
2020-03-08,2388.552621758171
2020-03-09,2390.7863553295992
2020-03-10,2395.279934358903
2020-03-11,2399.777879923005
2020-03-12,2404.280192439489
2020-03-13,2404.2548180035906
2020-03-14,2404.2253714285
2020-03-15,2406.3442174284987
2020-03-16,2404.274178879048
2020-03-17,2404.472363076851
2020-03-18,2404.666489890037
2020-03-19,2404.8565589010263
2020-03-20,2400.5175601537735
2020-03-21,2396.182324395532
2020-03-22,2391.850852043883
2020-03-23,2389.779781648279
2020-03-24,2389.963246153773
2020-03-25,2390.1426513259344
2020-03-26,2390.3179967471797
2020-03-27,2385.9916539999267
2020-03-28,2381.6690761904033
2020-03-29,2377.3502637361903
2020-03-30,2375.2781614944324
2020-03-31,2375.4468994871063
